Alg,Set_Num,Rep_num,Fitness,Seconds,Func_Evals,na
rhc,0,0,7.0,0.0005469,10,0
rhc,0,10,7.0,0.0002679,21,0
rhc,0,20,68.0,0.0001165,32,0
rhc,0,30,68.0,0.0001376,43,0
rhc,0,40,68.0,0.0001185,54,0
rhc,0,50,68.0,0.0001201,65,0
rhc,0,60,68.0,0.0001334,76,0
rhc,0,70,68.0,0.0002177,87,0
rhc,0,80,68.0,0.0001897,98,0
rhc,0,90,68.0,0.0001162,109,0
rhc,0,100,68.0,0.0001291,120,0
rhc,0,110,68.0,0.0001157,131,0
rhc,0,120,68.0,0.0001278,142,0
rhc,0,130,68.0,0.0001088,153,0
rhc,0,140,68.0,0.0001076,164,0
rhc,0,150,68.0,0.0004505,175,0
rhc,0,160,68.0,0.0001295,186,0
rhc,0,170,68.0,0.0001097,197,0
rhc,0,180,71.0,0.0001198,208,0
rhc,0,190,71.0,0.0001246,219,0
rhc,0,200,71.0,0.0001666,230,0
rhc,0,210,71.0,0.0001792,241,0
rhc,0,220,71.0,0.0001447,252,0
rhc,0,230,71.0,0.0001142,263,0
rhc,0,240,71.0,0.0002323,274,0
rhc,0,250,71.0,0.0001532,285,0
rhc,0,260,71.0,0.0001218,296,0
rhc,0,270,71.0,0.0001247,307,0
rhc,0,280,71.0,0.0003509,318,0
rhc,0,290,72.0,0.0001352,329,0
rhc,0,300,72.0,0.0001212,340,0
rhc,0,310,72.0,0.0001068,351,0
rhc,0,320,72.0,6.86e-05,362,0
rhc,0,330,72.0,6.07e-05,373,0
rhc,0,340,72.0,6.29e-05,384,0
rhc,0,350,72.0,5.36e-05,395,0
rhc,0,360,72.0,5.36e-05,406,0
rhc,0,370,72.0,4.85e-05,417,0
rhc,0,380,72.0,5.96e-05,428,0
rhc,0,390,72.0,4.62e-05,439,0
rhc,0,400,72.0,5.54e-05,450,0
rhc,0,410,72.0,7.09e-05,461,0
rhc,0,420,72.0,4.53e-05,472,0
rhc,0,430,72.0,6.38e-05,483,0
rhc,0,440,72.0,4.81e-05,494,0
rhc,0,450,72.0,8.12e-05,505,0
rhc,0,460,74.0,5.27e-05,516,0
rhc,0,470,74.0,5.43e-05,527,0
rhc,0,480,74.0,4.94e-05,538,0
rhc,0,490,74.0,5.62e-05,549,0
rhc,0,500,74.0,5.28e-05,560,0
rhc,0,510,74.0,0.0001622,571,0
rhc,0,520,74.0,7.58e-05,582,0
rhc,0,530,74.0,5.04e-05,593,0
rhc,0,540,74.0,4.94e-05,604,0
rhc,0,550,74.0,6.92e-05,615,0
rhc,0,560,75.0,6.01e-05,626,0
rhc,0,570,75.0,5.09e-05,637,0
rhc,0,580,75.0,4.98e-05,648,0
rhc,0,590,75.0,6.89e-05,659,0
rhc,0,600,75.0,4.56e-05,670,0
rhc,0,610,75.0,4.63e-05,681,0
rhc,0,620,75.0,5.15e-05,692,0
rhc,0,630,75.0,0.0002104,703,0
rhc,0,640,75.0,4.96e-05,714,0
rhc,0,650,75.0,4.54e-05,725,0
rhc,0,660,75.0,4.09e-05,736,0
rhc,0,670,75.0,5.67e-05,747,0
rhc,0,680,75.0,4.39e-05,758,0
rhc,0,690,75.0,0.0020372,769,0
rhc,0,700,76.0,5.84e-05,780,0
rhc,0,710,76.0,4.17e-05,791,0
rhc,0,720,76.0,4.62e-05,802,0
rhc,0,730,76.0,5.26e-05,813,0
rhc,0,740,76.0,4.01e-05,824,0
rhc,0,750,76.0,3.97e-05,835,0
rhc,0,760,76.0,3.98e-05,846,0
rhc,0,770,76.0,7.55e-05,857,0
rhc,0,780,76.0,4.82e-05,868,0
rhc,0,790,80.0,7.33e-05,879,0
rhc,0,800,81.0,6.8e-05,890,0
rhc,0,810,81.0,4.21e-05,901,0
rhc,0,820,81.0,4.17e-05,912,0
rhc,0,830,81.0,3.95e-05,923,0
rhc,0,840,81.0,4.29e-05,934,0
rhc,0,850,81.0,8.4e-05,945,0
rhc,0,860,81.0,5.15e-05,956,0
rhc,0,870,89.0,3.83e-05,967,0
rhc,0,880,89.0,4.02e-05,978,0
rhc,0,890,89.0,4.19e-05,989,0
rhc,0,900,89.0,3.73e-05,1000,0
rhc,0,910,89.0,3.83e-05,1011,0
rhc,0,920,89.0,3.81e-05,1022,0
rhc,0,930,89.0,4.45e-05,1033,0
rhc,0,940,89.0,4.23e-05,1044,0
