Alg,Set_Num,Rep_num,Fitness,Seconds,Func_Evals,tokeep,samples
mimic,0,0,56.0,0.034591312,300,0.1,30
mimic,0,10,61.0,0.033092078,631,0.1,30
mimic,0,20,63.0,0.025680767,962,0.1,30
mimic,0,30,65.0,0.027762853,1293,0.1,30
mimic,0,40,67.0,0.027710179,1624,0.1,30
mimic,0,50,67.0,0.019794309,1955,0.1,30
mimic,0,60,69.0,0.019832771,2286,0.1,30
mimic,0,70,67.0,0.019643174,2617,0.1,30
mimic,0,80,69.0,0.018458046,2948,0.1,30
mimic,0,90,67.0,0.018665306,3279,0.1,30
mimic,0,100,67.0,0.017599349,3610,0.1,30
mimic,0,110,71.0,0.017266914,3941,0.1,30
mimic,0,120,71.0,0.014994639,4272,0.1,30
mimic,0,130,71.0,0.014735802,4603,0.1,30
mimic,0,140,71.0,0.015405236,4934,0.1,30
mimic,0,150,71.0,0.016111747,5265,0.1,30
mimic,0,160,71.0,0.01536761,5596,0.1,30
mimic,0,170,71.0,0.0154475,5927,0.1,30
mimic,0,180,71.0,0.014944784,6258,0.1,30
mimic,0,190,71.0,0.015205962,6589,0.1,30
mimic,0,200,71.0,0.015568509,6920,0.1,30
mimic,0,210,71.0,0.015881842,7251,0.1,30
mimic,0,220,71.0,0.022379677,7582,0.1,30
mimic,0,230,71.0,0.015387952,7913,0.1,30
mimic,0,240,71.0,0.014647457,8244,0.1,30
mimic,0,250,71.0,0.01566692,8575,0.1,30
mimic,0,260,73.0,0.01459125,8906,0.1,30
mimic,0,270,73.0,0.014093021,9237,0.1,30
mimic,0,280,73.0,0.015029527,9568,0.1,30
mimic,0,290,73.0,0.015141257,9899,0.1,30
mimic,0,300,73.0,0.015187044,10230,0.1,30
mimic,0,310,73.0,0.015901723,10561,0.1,30
mimic,0,320,73.0,0.015656059,10892,0.1,30
mimic,0,330,73.0,0.014589597,11223,0.1,30
mimic,0,340,73.0,0.015237819,11554,0.1,30
mimic,0,350,73.0,0.014721951,11885,0.1,30
mimic,0,360,73.0,0.0141124,12216,0.1,30
mimic,0,370,73.0,0.014211727,12547,0.1,30
mimic,0,380,74.0,0.016002499,12878,0.1,30
mimic,0,390,74.0,0.014494308,13209,0.1,30
mimic,0,400,74.0,0.01451628,13540,0.1,30
mimic,0,410,74.0,0.01420532,13871,0.1,30
mimic,0,420,74.0,0.014853291,14202,0.1,30
mimic,0,430,74.0,0.014093905,14533,0.1,30
mimic,0,440,74.0,0.01400944,14864,0.1,30
mimic,0,450,74.0,0.013967208,15195,0.1,30
mimic,0,460,74.0,0.013848241,15526,0.1,30
mimic,0,470,74.0,0.014638813,15857,0.1,30
mimic,0,480,74.0,0.01483229,16188,0.1,30
mimic,0,490,74.0,0.015091018,16519,0.1,30
mimic,0,500,74.0,0.014712756,16850,0.1,30
mimic,0,510,74.0,0.014807293,17181,0.1,30
mimic,0,520,74.0,0.014001323,17512,0.1,30
mimic,0,530,74.0,0.014733884,17843,0.1,30
mimic,0,540,74.0,0.014705025,18174,0.1,30
mimic,0,550,74.0,0.015948593,18505,0.1,30
mimic,0,560,74.0,0.01396638,18836,0.1,30
mimic,0,570,74.0,0.014037931,19167,0.1,30
mimic,0,580,74.0,0.013914195,19498,0.1,30
mimic,0,590,74.0,0.013704902,19829,0.1,30
mimic,0,600,74.0,0.013984688,20160,0.1,30
mimic,0,610,74.0,0.015119181,20491,0.1,30
mimic,0,620,74.0,0.014403214,20822,0.1,30
mimic,0,630,72.0,0.01460118,21153,0.1,30
mimic,0,640,74.0,0.014088694,21484,0.1,30
mimic,0,650,74.0,0.014403581,21815,0.1,30
mimic,0,660,74.0,0.014255469,22146,0.1,30
mimic,0,670,74.0,0.014928928,22477,0.1,30
mimic,0,680,74.0,0.014287626,22808,0.1,30
mimic,0,690,74.0,0.014162518,23139,0.1,30
mimic,0,700,74.0,0.01484597,23470,0.1,30
mimic,0,710,74.0,0.014370251,23801,0.1,30
