Alg,Set_Num,Rep_num,Fitness,Seconds,Func_Evals,na
rhc,0,0,40.0,0.0003414,11,0
rhc,0,10,41.0,0.0010118,22,0
rhc,0,20,43.0,0.0002503,33,0
rhc,0,30,46.0,0.0002365,44,0
rhc,0,40,46.0,0.0002821,55,0
rhc,0,50,48.0,0.0002351,66,0
rhc,0,60,48.0,0.0002822,77,0
rhc,0,70,48.0,0.0006298,88,0
rhc,0,80,48.0,0.0002461,99,0
rhc,0,90,50.0,0.0002304,110,0
rhc,0,100,52.0,0.0002346,121,0
rhc,0,110,54.0,0.0002461,132,0
rhc,0,120,54.0,0.000314,143,0
rhc,0,130,54.0,0.0002372,154,0
rhc,0,140,54.0,0.000859,165,0
rhc,0,150,54.0,0.000626,176,0
rhc,0,160,54.0,0.000202,187,0
rhc,0,170,54.0,0.0001136,198,0
rhc,0,180,54.0,0.0002471,209,0
rhc,0,190,56.0,0.0048516,220,0
rhc,0,200,56.0,8.54e-05,231,0
rhc,0,210,56.0,0.0001693,242,0
rhc,0,220,56.0,6.69e-05,253,0
rhc,0,230,56.0,7.28e-05,264,0
rhc,0,240,56.0,6.64e-05,275,0
rhc,0,250,56.0,8.16e-05,286,0
rhc,0,260,60.0,7.19e-05,297,0
rhc,0,270,62.0,0.0002425,308,0
rhc,0,280,64.0,0.0001221,319,0
rhc,0,290,64.0,7.79e-05,330,0
rhc,0,300,64.0,8.58e-05,341,0
rhc,0,310,64.0,6.27e-05,352,0
rhc,0,320,64.0,6.59e-05,363,0
rhc,0,330,66.0,4.98e-05,374,0
rhc,0,340,66.0,5.57e-05,385,0
rhc,0,350,66.0,4.81e-05,396,0
rhc,0,360,66.0,5.64e-05,407,0
rhc,0,370,66.0,8.03e-05,418,0
rhc,0,380,66.0,0.003778,429,0
rhc,0,390,66.0,6.47e-05,440,0
rhc,0,400,66.0,5.38e-05,451,0
rhc,0,410,66.0,9.11e-05,462,0
rhc,0,420,66.0,7.69e-05,473,0
rhc,0,430,66.0,6.67e-05,484,0
rhc,0,440,66.0,4.5e-05,495,0
rhc,0,450,66.0,4.31e-05,506,0
rhc,0,460,66.0,5.5e-05,517,0
rhc,0,470,66.0,5.38e-05,528,0
rhc,0,480,66.0,5.5e-05,539,0
rhc,0,490,66.0,4.77e-05,550,0
rhc,0,500,66.0,3.88e-05,561,0
rhc,0,510,66.0,4.41e-05,572,0
rhc,0,520,66.0,3.83e-05,583,0
rhc,0,530,66.0,8.34e-05,594,0
rhc,0,540,66.0,6.59e-05,605,0
rhc,0,550,66.0,4.57e-05,616,0
rhc,0,560,66.0,5.91e-05,627,0
rhc,0,570,66.0,0.0002447,638,0
rhc,0,580,66.0,5.01e-05,649,0
rhc,0,590,66.0,5.87e-05,660,0
rhc,0,600,66.0,4.31e-05,671,0
rhc,0,610,66.0,3.84e-05,682,0
rhc,0,620,66.0,4.08e-05,693,0
rhc,0,630,66.0,5.54e-05,704,0
rhc,0,640,66.0,5.12e-05,715,0
rhc,0,650,66.0,5.33e-05,726,0
rhc,0,660,66.0,3.88e-05,737,0
rhc,0,670,66.0,4.6e-05,748,0
rhc,0,680,66.0,3.55e-05,759,0
rhc,0,690,66.0,4.51e-05,770,0
rhc,0,700,66.0,7.8e-05,781,0
rhc,0,710,66.0,5.66e-05,792,0
rhc,0,720,66.0,7.37e-05,803,0
rhc,0,730,66.0,4.54e-05,814,0
rhc,0,740,66.0,8e-05,825,0
rhc,0,750,66.0,3.51e-05,836,0
rhc,0,760,66.0,3.9e-05,847,0
rhc,0,770,66.0,3.89e-05,858,0
rhc,0,780,66.0,9.5e-05,869,0
rhc,0,790,66.0,6.53e-05,880,0
rhc,0,800,66.0,3.55e-05,891,0
rhc,0,810,66.0,0.0001284,902,0
rhc,0,820,66.0,3.87e-05,913,0
rhc,0,830,66.0,3.54e-05,924,0
rhc,0,840,66.0,2.98e-05,935,0
rhc,0,850,66.0,3.91e-05,946,0
rhc,0,860,66.0,2.98e-05,957,0
rhc,0,870,66.0,2.89e-05,968,0
rhc,0,880,66.0,2.82e-05,979,0
rhc,0,890,66.0,2.48e-05,990,0
rhc,0,900,66.0,2.92e-05,1001,0
rhc,0,910,66.0,2.41e-05,1012,0
rhc,0,920,66.0,6.19e-05,1023,0
rhc,0,930,66.0,2.75e-05,1034,0
rhc,0,940,66.0,2.74e-05,1045,0
rhc,0,950,66.0,2.79e-05,1056,0
rhc,0,960,66.0,2.26e-05,1067,0
rhc,0,970,66.0,2.72e-05,1078,0
rhc,0,980,66.0,2.27e-05,1089,0
rhc,0,990,66.0,3.05e-05,1100,0
rhc,0,1000,66.0,2.7e-05,1111,0
rhc,0,1010,66.0,4.2e-05,1122,0
rhc,0,1020,66.0,2.63e-05,1133,0
rhc,0,1030,66.0,2.56e-05,1144,0
rhc,0,1040,66.0,2.37e-05,1155,0
rhc,0,1050,66.0,2.37e-05,1166,0
rhc,0,1060,66.0,2.55e-05,1177,0
rhc,0,1070,66.0,1.89e-05,1188,0
rhc,0,1080,66.0,2.33e-05,1199,0
rhc,0,1090,66.0,2e-05,1210,0
rhc,0,1100,66.0,2.42e-05,1221,0
rhc,0,1110,66.0,2.35e-05,1232,0
rhc,0,1120,66.0,3.27e-05,1243,0
rhc,0,1130,66.0,2.42e-05,1254,0
rhc,0,1140,66.0,3.54e-05,1265,0
rhc,0,1150,66.0,6e-05,1276,0
rhc,0,1160,66.0,2.18e-05,1287,0
rhc,0,1170,66.0,2.45e-05,1298,0
rhc,0,1180,66.0,2.85e-05,1309,0
rhc,0,1190,66.0,2.49e-05,1320,0
rhc,0,1200,66.0,2.45e-05,1331,0
rhc,0,1210,66.0,1.93e-05,1342,0
rhc,0,1220,66.0,2.38e-05,1353,0
rhc,0,1230,66.0,3.44e-05,1364,0
rhc,0,1240,66.0,2.67e-05,1375,0
rhc,0,1250,66.0,2.42e-05,1386,0
rhc,0,1260,66.0,2.53e-05,1397,0
rhc,0,1270,66.0,3.24e-05,1408,0
rhc,0,1280,66.0,1.94e-05,1419,0
rhc,0,1290,66.0,2.4e-05,1430,0
rhc,0,1300,66.0,1.92e-05,1441,0
rhc,0,1310,66.0,2.51e-05,1452,0
rhc,0,1320,66.0,2.81e-05,1463,0
rhc,0,1330,66.0,2.36e-05,1474,0
rhc,0,1340,66.0,4.82e-05,1485,0
rhc,0,1350,66.0,2.61e-05,1496,0
rhc,0,1360,66.0,2.46e-05,1507,0
rhc,0,1370,66.0,1.91e-05,1518,0
rhc,0,1380,66.0,2.46e-05,1529,0
rhc,0,1390,66.0,2.76e-05,1540,0
rhc,0,1400,66.0,2.52e-05,1551,0
rhc,0,1410,66.0,2.6e-05,1562,0
rhc,0,1420,66.0,1.86e-05,1573,0
rhc,0,1430,66.0,2.58e-05,1584,0
rhc,0,1440,66.0,4.25e-05,1595,0
rhc,0,1450,66.0,3.62e-05,1606,0
rhc,0,1460,66.0,2.35e-05,1617,0
rhc,0,1470,66.0,2.41e-05,1628,0
rhc,0,1480,66.0,2.36e-05,1639,0
rhc,0,1490,66.0,4.4e-05,1650,0
rhc,0,1500,66.0,2.64e-05,1661,0
rhc,0,1510,66.0,2.66e-05,1672,0
rhc,0,1520,66.0,2.53e-05,1683,0
rhc,0,1530,66.0,1.91e-05,1694,0
rhc,0,1540,66.0,2.55e-05,1705,0
rhc,0,1550,66.0,1.97e-05,1716,0
rhc,0,1560,66.0,2.64e-05,1727,0
rhc,0,1570,66.0,4.88e-05,1738,0
rhc,0,1580,66.0,2.57e-05,1749,0
rhc,0,1590,66.0,2.58e-05,1760,0
rhc,0,1600,66.0,1.9e-05,1771,0
rhc,0,1610,66.0,4.81e-05,1782,0
rhc,0,1620,66.0,0.0002835,1793,0
rhc,0,1630,66.0,2.92e-05,1804,0
rhc,0,1640,66.0,2.07e-05,1815,0
rhc,0,1650,66.0,2.49e-05,1826,0
rhc,0,1660,66.0,2.64e-05,1837,0
rhc,0,1670,66.0,2.56e-05,1848,0
rhc,0,1680,66.0,2.45e-05,1859,0
rhc,0,1690,66.0,2.42e-05,1870,0
rhc,0,1700,66.0,2.69e-05,1881,0
rhc,0,1710,66.0,2.56e-05,1892,0
rhc,0,1720,66.0,2.43e-05,1903,0
rhc,0,1730,66.0,2.36e-05,1914,0
rhc,0,1740,66.0,2.56e-05,1925,0
rhc,0,1750,66.0,2.14e-05,1936,0
rhc,0,1760,66.0,2.5e-05,1947,0
rhc,0,1770,66.0,2.43e-05,1958,0
rhc,0,1780,66.0,3.23e-05,1969,0
rhc,0,1790,66.0,2.59e-05,1980,0
rhc,0,1800,66.0,2.54e-05,1991,0
rhc,0,1810,66.0,2.47e-05,2002,0
rhc,0,1820,66.0,1.91e-05,2013,0
rhc,0,1830,66.0,2.92e-05,2024,0
rhc,0,1840,66.0,1.91e-05,2035,0
rhc,0,1850,66.0,2.39e-05,2046,0
rhc,0,1860,66.0,2.37e-05,2057,0
rhc,0,1870,66.0,2.36e-05,2068,0
rhc,0,1880,66.0,2.46e-05,2079,0
rhc,0,1890,66.0,2.75e-05,2090,0
rhc,0,1900,66.0,2.73e-05,2101,0
rhc,0,1910,66.0,2.06e-05,2112,0
rhc,0,1920,66.0,2.5e-05,2123,0
rhc,0,1930,66.0,2.48e-05,2134,0
rhc,0,1940,66.0,7.05e-05,2145,0
rhc,0,1950,66.0,3.19e-05,2156,0
rhc,0,1960,66.0,2.7e-05,2167,0
rhc,0,1970,66.0,2.62e-05,2178,0
rhc,0,1980,66.0,1.94e-05,2189,0
rhc,0,1990,66.0,2.39e-05,2200,0
rhc,0,2000,66.0,2.58e-05,2211,0
rhc,0,2010,66.0,2.45e-05,2222,0
rhc,0,2020,66.0,2.31e-05,2233,0
rhc,0,2030,66.0,1.86e-05,2244,0
rhc,0,2040,66.0,2.45e-05,2255,0
rhc,0,2050,66.0,1.86e-05,2266,0
rhc,0,2060,66.0,2.34e-05,2277,0
rhc,0,2070,66.0,3.41e-05,2288,0
rhc,0,2080,66.0,2.4e-05,2299,0
rhc,0,2090,66.0,2.47e-05,2310,0
rhc,0,2100,66.0,2.37e-05,2321,0
rhc,0,2110,66.0,2.37e-05,2332,0
rhc,0,2120,66.0,2.4e-05,2343,0
rhc,0,2130,66.0,2.81e-05,2354,0
rhc,0,2140,66.0,2.48e-05,2365,0
rhc,0,2150,66.0,1.89e-05,2376,0
rhc,0,2160,66.0,2.49e-05,2387,0
rhc,0,2170,66.0,1.91e-05,2398,0
rhc,0,2180,66.0,3.56e-05,2409,0
rhc,0,2190,66.0,1.92e-05,2420,0
rhc,0,2200,66.0,2.37e-05,2431,0
rhc,0,2210,66.0,2.36e-05,2442,0
rhc,0,2220,66.0,2.38e-05,2453,0
rhc,0,2230,66.0,2.41e-05,2464,0
rhc,0,2240,66.0,2.38e-05,2475,0
rhc,0,2250,66.0,2.39e-05,2486,0
rhc,0,2260,66.0,2.13e-05,2497,0
rhc,0,2270,66.0,3.47e-05,2508,0
rhc,0,2280,66.0,2.89e-05,2519,0
rhc,0,2290,66.0,3.05e-05,2530,0
rhc,0,2300,66.0,2.56e-05,2541,0
rhc,0,2310,66.0,2.56e-05,2552,0
rhc,0,2320,66.0,2.51e-05,2563,0
rhc,0,2330,66.0,1.97e-05,2574,0
rhc,0,2340,66.0,2.37e-05,2585,0
rhc,0,2350,66.0,2.35e-05,2596,0
rhc,0,2360,66.0,0.000684,2607,0
rhc,0,2370,66.0,2.88e-05,2618,0
rhc,0,2380,66.0,2.7e-05,2629,0
rhc,0,2390,66.0,2.55e-05,2640,0
rhc,0,2400,66.0,1.89e-05,2651,0
rhc,0,2410,66.0,2.47e-05,2662,0
rhc,0,2420,66.0,2.03e-05,2673,0
rhc,0,2430,66.0,3.42e-05,2684,0
rhc,0,2440,66.0,3.6e-05,2695,0
rhc,0,2450,66.0,2.41e-05,2706,0
rhc,0,2460,66.0,2.57e-05,2717,0
rhc,0,2470,66.0,2.52e-05,2728,0
rhc,0,2480,66.0,3.82e-05,2739,0
rhc,0,2490,66.0,2.02e-05,2750,0
rhc,0,2500,66.0,8.1e-05,2761,0
