Alg,Set_Num,Rep_num,Fitness,Seconds
rhc,0,0,63.0,0.00600004196167
rhc,0,10,63.0,0.000999927520752
rhc,0,20,63.0,0.000999927520752
rhc,0,30,63.0,0.00100016593933
rhc,0,40,63.0,0.000999927520752
rhc,0,50,63.0,0.000999927520752
rhc,0,60,63.0,0.00100016593933
rhc,0,70,63.0,0.000999927520752
rhc,0,80,63.0,0.00300002098083
rhc,0,90,63.0,0.000999927520752
rhc,0,100,63.0,0.000999927520752
rhc,0,110,63.0,0.000999927520752
rhc,0,120,63.0,0.000999927520752
rhc,0,130,63.0,0.00100016593933
rhc,0,140,63.0,0.000999927520752
rhc,0,150,63.0,0.00200009346008
rhc,0,160,63.0,0.000999927520752
rhc,0,170,63.0,0.00100016593933
rhc,0,180,63.0,0.0
rhc,0,190,63.0,0.0
rhc,0,200,63.0,0.000999927520752
rhc,0,210,63.0,0.00300002098083
rhc,0,220,63.0,0.0
rhc,0,230,63.0,0.000999927520752
rhc,0,240,63.0,0.000999927520752
rhc,0,250,63.0,0.00100016593933
rhc,0,260,63.0,0.0019998550415
rhc,0,270,63.0,0.000999927520752
rhc,0,280,63.0,0.00100016593933
rhc,0,290,63.0,0.000999927520752
rhc,0,300,63.0,0.000999927520752
rhc,0,310,63.0,0.00100016593933
rhc,0,320,63.0,0.000999927520752
rhc,0,330,63.0,0.000999927520752
rhc,0,340,63.0,0.00100016593933
rhc,0,350,63.0,0.000999927520752
rhc,0,360,63.0,0.0
rhc,0,370,63.0,0.0
rhc,0,380,63.0,0.000999927520752
rhc,0,390,63.0,0.00300002098083
rhc,0,400,63.0,0.00100016593933
rhc,0,410,63.0,0.000999927520752
rhc,0,420,63.0,0.000999927520752
rhc,0,430,63.0,0.00100016593933
rhc,0,440,63.0,0.000999927520752
rhc,0,450,63.0,0.0
rhc,0,460,63.0,0.0
rhc,0,470,63.0,0.000999927520752
rhc,0,480,63.0,0.00100016593933
rhc,0,490,63.0,0.000999927520752
rhc,1,0,63.0,0.000999927520752
rhc,1,10,65.0,0.0
rhc,1,20,67.0,0.0
rhc,1,30,67.0,0.000999927520752
rhc,1,40,67.0,0.000999927520752
rhc,1,50,67.0,0.00100016593933
rhc,1,60,67.0,0.000999927520752
rhc,1,70,67.0,0.000999927520752
rhc,1,80,67.0,0.0
rhc,1,90,67.0,0.000999927520752
rhc,1,100,67.0,0.000999927520752
rhc,1,110,67.0,0.0
rhc,1,120,67.0,0.00100016593933
rhc,1,130,67.0,0.000999927520752
rhc,1,140,67.0,0.000999927520752
rhc,1,150,67.0,0.00100016593933
rhc,1,160,67.0,0.000999927520752
rhc,1,170,67.0,0.000999927520752
rhc,1,180,67.0,0.00100016593933
rhc,1,190,67.0,0.000999927520752
rhc,1,200,67.0,0.000999927520752
rhc,1,210,67.0,0.0250000953674
rhc,1,220,67.0,0.000999927520752
rhc,1,230,67.0,0.00200009346008
rhc,1,240,67.0,0.000999927520752
rhc,1,250,67.0,0.0
rhc,1,260,67.0,0.0
rhc,1,270,67.0,0.000999927520752
rhc,1,280,67.0,0.000999927520752
rhc,1,290,67.0,0.00100016593933
rhc,1,300,67.0,0.0
rhc,1,310,67.0,0.000999927520752
rhc,1,320,67.0,0.0
rhc,1,330,67.0,0.000999927520752
rhc,1,340,67.0,0.0
rhc,1,350,67.0,0.000999927520752
rhc,1,360,67.0,0.00100016593933
rhc,1,370,67.0,0.0
rhc,1,380,67.0,0.000999927520752
rhc,1,390,67.0,0.000999927520752
rhc,1,400,67.0,0.0
rhc,1,410,67.0,0.0
rhc,1,420,67.0,0.0
rhc,1,430,67.0,0.0
rhc,1,440,67.0,0.0
rhc,1,450,67.0,0.0
rhc,1,460,67.0,0.0
rhc,1,470,67.0,0.00100016593933
rhc,1,480,67.0,0.0
rhc,1,490,67.0,0.0
rhc,2,0,61.0,0.000999927520752
rhc,2,10,63.0,0.0
rhc,2,20,63.0,0.0
rhc,2,30,63.0,0.00100016593933
rhc,2,40,63.0,0.0
rhc,2,50,63.0,0.000999927520752
rhc,2,60,63.0,0.000999927520752
rhc,2,70,63.0,0.0
rhc,2,80,63.0,0.00100016593933
rhc,2,90,63.0,0.0
rhc,2,100,63.0,0.000999927520752
rhc,2,110,63.0,0.0
rhc,2,120,63.0,0.000999927520752
rhc,2,130,63.0,0.0
rhc,2,140,63.0,0.0
rhc,2,150,63.0,0.0
rhc,2,160,63.0,0.0
rhc,2,170,63.0,0.0
rhc,2,180,63.0,0.000999927520752
rhc,2,190,63.0,0.0
rhc,2,200,63.0,0.00100016593933
rhc,2,210,63.0,0.0
rhc,2,220,63.0,0.0
rhc,2,230,63.0,0.000999927520752
rhc,2,240,63.0,0.000999927520752
rhc,2,250,63.0,0.00100016593933
rhc,2,260,63.0,0.000999927520752
rhc,2,270,63.0,0.000999927520752
rhc,2,280,63.0,0.0
rhc,2,290,63.0,0.00100016593933
rhc,2,300,63.0,0.0
rhc,2,310,63.0,0.000999927520752
rhc,2,320,63.0,0.0
rhc,2,330,63.0,0.000999927520752
rhc,2,340,63.0,0.0
rhc,2,350,63.0,0.00100016593933
rhc,2,360,63.0,0.0
rhc,2,370,63.0,0.0
rhc,2,380,63.0,0.0
rhc,2,390,63.0,0.0
rhc,2,400,63.0,0.0
rhc,2,410,63.0,0.0
rhc,2,420,63.0,0.0
rhc,2,430,63.0,0.0
rhc,2,440,63.0,0.0
rhc,2,450,63.0,0.0
rhc,2,460,63.0,0.0
rhc,2,470,63.0,0.0
rhc,2,480,63.0,0.0
rhc,2,490,63.0,0.0
rhc,3,0,69.0,0.0
rhc,3,10,69.0,0.0
rhc,3,20,69.0,0.0
rhc,3,30,69.0,0.0
rhc,3,40,69.0,0.0
rhc,3,50,69.0,0.0
rhc,3,60,69.0,0.0
rhc,3,70,69.0,0.0
rhc,3,80,69.0,0.0
rhc,3,90,69.0,0.0
rhc,3,100,69.0,0.0
rhc,3,110,69.0,0.0
rhc,3,120,69.0,0.0
rhc,3,130,69.0,0.0
rhc,3,140,69.0,0.0
rhc,3,150,69.0,0.0
rhc,3,160,69.0,0.0
rhc,3,170,69.0,0.0
rhc,3,180,69.0,0.0
rhc,3,190,69.0,0.0
rhc,3,200,69.0,0.0
rhc,3,210,69.0,0.0
rhc,3,220,69.0,0.0
rhc,3,230,69.0,0.0
rhc,3,240,69.0,0.0
rhc,3,250,69.0,0.0
rhc,3,260,69.0,0.0
rhc,3,270,69.0,0.0
rhc,3,280,69.0,0.0
rhc,3,290,69.0,0.0
rhc,3,300,69.0,0.0
rhc,3,310,69.0,0.0
rhc,3,320,69.0,0.0
rhc,3,330,69.0,0.0
rhc,3,340,69.0,0.0
rhc,3,350,69.0,0.0
rhc,3,360,69.0,0.000999927520752
rhc,3,370,69.0,0.0
rhc,3,380,69.0,0.0
rhc,3,390,69.0,0.0
rhc,3,400,69.0,0.0
rhc,3,410,69.0,0.0
rhc,3,420,69.0,0.0
rhc,3,430,69.0,0.0
rhc,3,440,69.0,0.0
rhc,3,450,69.0,0.0
rhc,3,460,69.0,0.0
rhc,3,470,69.0,0.0
rhc,3,480,69.0,0.0
rhc,3,490,69.0,0.00300002098083
rhc,4,0,59.0,0.0
rhc,4,10,66.0,0.0
rhc,4,20,66.0,0.0
rhc,4,30,68.0,0.0
