Alg,Set_Num,Rep_num,Fitness,Seconds,Func_Evals,na
rhc,0,0,2042.49832349,0.000181858,10,0
rhc,0,10,2230.10405904,0.000102698,21,0
rhc,0,20,2273.73517346,9.8945e-05,32,0
rhc,0,30,2536.97443446,7.0169e-05,43,0
rhc,0,40,2756.23455718,6.4719e-05,54,0
rhc,0,50,2807.23272659,0.000151213,65,0
rhc,0,60,2886.68955517,6.4329e-05,76,0
rhc,0,70,2925.60951196,6.0214e-05,87,0
rhc,0,80,2955.93545387,6.0428e-05,98,0
rhc,0,90,2964.928156,6.0617e-05,109,0
rhc,0,100,2964.928156,5.8699e-05,120,0
rhc,0,110,3000.94924802,5.8775e-05,131,0
rhc,0,120,3008.6788722,6.1926e-05,142,0
rhc,0,130,3103.65678203,4.879e-05,153,0
rhc,0,140,3117.74740631,3.8908e-05,164,0
rhc,0,150,3207.41901878,0.000299527,175,0
rhc,0,160,3207.96140369,5.495e-05,186,0
rhc,0,170,3273.66288611,0.000114046,197,0
rhc,0,180,3273.66288611,3.0458e-05,208,0
rhc,0,190,3273.66288611,3.2171e-05,219,0
rhc,0,200,3273.66288611,2.8036e-05,230,0
rhc,0,210,3273.66288611,2.8226e-05,241,0
rhc,0,220,3273.66288611,2.7373e-05,252,0
rhc,0,230,3312.62576528,4.5655e-05,263,0
rhc,0,240,3312.62576528,2.6511e-05,274,0
rhc,0,250,3312.62576528,2.6713e-05,285,0
rhc,0,260,3312.62576528,2.6402e-05,296,0
rhc,0,270,3312.62576528,2.5202e-05,307,0
rhc,0,280,3312.62576528,2.5515e-05,318,0
rhc,0,290,3312.62576528,3.6083e-05,329,0
rhc,0,300,3312.62576528,2.5783e-05,340,0
rhc,0,310,3312.62576528,2.6311e-05,351,0
rhc,0,320,3312.62576528,2.6525e-05,362,0
rhc,0,330,3351.58864445,2.528e-05,373,0
rhc,0,340,3351.58864445,2.541e-05,384,0
rhc,0,350,3351.58864445,3.0487e-05,395,0
rhc,0,360,3351.58864445,2.5368e-05,406,0
rhc,0,370,3351.58864445,2.4618e-05,417,0
rhc,0,380,3351.58864445,5.2985e-05,428,0
rhc,0,390,3351.58864445,2.4841e-05,439,0
rhc,0,400,3351.58864445,3.0987e-05,450,0
rhc,0,410,3351.58864445,2.992e-05,461,0
rhc,0,420,3351.58864445,2.153e-05,472,0
rhc,0,430,3351.58864445,2.1823e-05,483,0
rhc,0,440,3351.58864445,2.1754e-05,494,0
rhc,0,450,3351.58864445,2.1377e-05,505,0
rhc,0,460,3351.58864445,2.1602e-05,516,0
rhc,0,470,3351.58864445,2.1975e-05,527,0
rhc,0,480,3351.58864445,2.2518e-05,538,0
rhc,0,490,3351.58864445,2.2565e-05,549,0
rhc,0,500,3351.58864445,2.1991e-05,560,0
rhc,0,510,3351.58864445,4.7062e-05,571,0
rhc,0,520,3351.58864445,2.3476e-05,582,0
rhc,0,530,3400.93177446,2.5202e-05,593,0
rhc,0,540,3400.93177446,2.5865e-05,604,0
rhc,0,550,3400.93177446,2.1014e-05,615,0
rhc,0,560,3400.93177446,2.062e-05,626,0
rhc,0,570,3400.93177446,2.1032e-05,637,0
rhc,0,580,3400.93177446,2.0162e-05,648,0
rhc,0,590,3400.93177446,2.0641e-05,659,0
rhc,0,600,3400.93177446,2.0653e-05,670,0
rhc,0,610,3400.93177446,2.0255e-05,681,0
rhc,0,620,3400.93177446,3.1712e-05,692,0
rhc,0,630,3400.93177446,2.0339e-05,703,0
rhc,0,640,3400.93177446,1.9883e-05,714,0
rhc,0,650,3400.93177446,1.9371e-05,725,0
rhc,0,660,3400.93177446,1.9216e-05,736,0
rhc,0,670,3400.93177446,1.9364e-05,747,0
rhc,0,680,3400.93177446,1.947e-05,758,0
rhc,0,690,3400.93177446,1.8135e-05,769,0
rhc,0,700,3400.93177446,1.8674e-05,780,0
rhc,0,710,3400.93177446,1.934e-05,791,0
rhc,0,720,3400.93177446,1.8854e-05,802,0
rhc,0,730,3400.93177446,1.9377e-05,813,0
rhc,0,740,3400.93177446,1.8526e-05,824,0
rhc,0,750,3400.93177446,4.6297e-05,835,0
rhc,0,760,3400.93177446,1.9429e-05,846,0
rhc,0,770,3400.93177446,1.8352e-05,857,0
rhc,0,780,3400.93177446,1.8535e-05,868,0
rhc,0,790,3400.93177446,1.9184e-05,879,0
rhc,0,800,3400.93177446,1.8039e-05,890,0
rhc,0,810,3400.93177446,3.6122e-05,901,0
rhc,0,820,3400.93177446,1.7837e-05,912,0
rhc,0,830,3400.93177446,1.8291e-05,923,0
rhc,0,840,3400.93177446,2.5052e-05,934,0
rhc,0,850,3400.93177446,1.7498e-05,945,0
rhc,0,860,3400.93177446,3.6942e-05,956,0
rhc,0,870,3400.93177446,3.1249e-05,967,0
rhc,0,880,3400.93177446,2.3472e-05,978,0
rhc,0,890,3400.93177446,2.0432e-05,989,0
rhc,0,900,3400.93177446,2.1202e-05,1000,0
rhc,0,910,3400.93177446,2.052e-05,1011,0
rhc,0,920,3400.93177446,2.3158e-05,1022,0
rhc,0,930,3400.93177446,2.1026e-05,1033,0
rhc,0,940,3400.93177446,2.6933e-05,1044,0
rhc,0,950,3400.93177446,2.0528e-05,1055,0
rhc,0,960,3400.93177446,1.9492e-05,1066,0
rhc,0,970,3400.93177446,3.9712e-05,1077,0
rhc,0,980,3400.93177446,1.9791e-05,1088,0
rhc,0,990,3400.93177446,2.0429e-05,1099,0
rhc,0,1000,3400.93177446,2.0681e-05,1110,0
rhc,0,1010,3400.93177446,4.1073e-05,1121,0
rhc,0,1020,3400.93177446,2.0751e-05,1132,0
rhc,0,1030,3400.93177446,2.0431e-05,1143,0
rhc,0,1040,3400.93177446,1.8785e-05,1154,0
rhc,0,1050,3400.93177446,1.8903e-05,1165,0
rhc,0,1060,3400.93177446,1.8862e-05,1176,0
rhc,0,1070,3400.93177446,1.949e-05,1187,0
rhc,0,1080,3400.93177446,1.9087e-05,1198,0
rhc,0,1090,3400.93177446,1.8154e-05,1209,0
rhc,0,1100,3400.93177446,1.9047e-05,1220,0
rhc,0,1110,3400.93177446,2.0075e-05,1231,0
rhc,0,1120,3400.93177446,1.8022e-05,1242,0
