Alg,Set_Num,Rep_num,Fitness,Seconds,tokeep,samples
mimic,0,0,55.0,0.0470886,0.1,30
mimic,0,10,59.0,0.03306,0.1,30
mimic,0,20,61.0,0.0303453,0.1,30
mimic,0,30,63.0,0.0265135,0.1,30
mimic,0,40,65.0,0.0267694,0.1,30
mimic,0,50,66.0,0.0261323,0.1,30
mimic,0,60,65.0,0.0373128,0.1,30
mimic,0,70,65.0,0.0237243,0.1,30
mimic,0,80,67.0,0.0241985,0.1,30
mimic,0,90,67.0,0.02297,0.1,30
mimic,0,100,69.0,0.0556993,0.1,30
mimic,0,110,69.0,0.0231801,0.1,30
mimic,0,120,69.0,0.0310749,0.1,30
mimic,0,130,69.0,0.0183713,0.1,30
mimic,0,140,69.0,0.0149317,0.1,30
mimic,0,150,69.0,0.0157,0.1,30
mimic,0,160,69.0,0.0172304,0.1,30
mimic,0,170,69.0,0.0161674,0.1,30
mimic,0,180,69.0,0.0220612,0.1,30
mimic,0,190,69.0,0.0211298,0.1,30
mimic,0,200,69.0,0.0283594,0.1,30
mimic,0,210,69.0,0.0187238,0.1,30
mimic,0,220,69.0,0.0155541,0.1,30
mimic,0,230,69.0,0.0148513,0.1,30
mimic,0,240,69.0,0.0159565,0.1,30
mimic,0,250,69.0,0.0145469,0.1,30
mimic,0,260,69.0,0.013247,0.1,30
mimic,0,270,69.0,0.0187469,0.1,30
mimic,0,280,71.0,0.0152517,0.1,30
mimic,0,290,71.0,0.0141474,0.1,30
mimic,0,300,71.0,0.0152597,0.1,30
mimic,0,310,71.0,0.0151761,0.1,30
mimic,0,320,71.0,0.0151247,0.1,30
mimic,0,330,71.0,0.0151025,0.1,30
mimic,0,340,71.0,0.0155173,0.1,30
mimic,0,350,71.0,0.0165809,0.1,30
mimic,0,360,71.0,0.0158024,0.1,30
mimic,0,370,71.0,0.0143993,0.1,30
mimic,0,380,71.0,0.0140824,0.1,30
mimic,0,390,71.0,0.0146808,0.1,30
mimic,0,400,71.0,0.0187899,0.1,30
mimic,0,410,71.0,0.0146209,0.1,30
mimic,0,420,71.0,0.0145607,0.1,30
