Alg,Set_Num,Rep_num,Fitness,Seconds
rhc,0,0,44.0,0.0
rhc,0,10,46.0,0.0
rhc,0,20,50.0,0.0
rhc,0,30,52.0,0.0
rhc,0,40,54.0,0.0
rhc,0,50,54.0,0.0
rhc,0,60,56.0,0.0
rhc,0,70,56.0,0.000999927520752
rhc,0,80,56.0,0.0
rhc,0,90,58.0,0.0
rhc,0,100,58.0,0.000999927520752
rhc,0,110,58.0,0.0
rhc,0,120,58.0,0.0
rhc,0,130,58.0,0.0
rhc,0,140,58.0,0.0
rhc,0,150,58.0,0.0
rhc,0,160,58.0,0.0
rhc,0,170,58.0,0.0
rhc,0,180,58.0,0.0
rhc,0,190,58.0,0.0
rhc,0,200,58.0,0.0
rhc,0,210,58.0,0.0
rhc,0,220,58.0,0.0
rhc,0,230,58.0,0.0
rhc,0,240,58.0,0.0
rhc,0,250,58.0,0.0
rhc,0,260,60.0,0.0
rhc,0,270,60.0,0.0
rhc,0,280,60.0,0.0
rhc,0,290,60.0,0.0
rhc,0,300,60.0,0.0
rhc,0,310,60.0,0.0
rhc,0,320,60.0,0.00100016593933
rhc,0,330,60.0,0.0
rhc,0,340,60.0,0.0
rhc,0,350,60.0,0.0
rhc,0,360,62.0,0.0
rhc,0,370,62.0,0.0
rhc,0,380,62.0,0.0
rhc,0,390,64.0,0.0
rhc,0,400,64.0,0.0
rhc,0,410,64.0,0.0
rhc,0,420,64.0,0.0
rhc,0,430,64.0,0.000999927520752
rhc,0,440,64.0,0.0
rhc,0,450,64.0,0.0
rhc,0,460,64.0,0.0
rhc,0,470,66.0,0.0
rhc,0,480,66.0,0.0
rhc,0,490,68.0,0.0
rhc,1,0,36.0,0.0
rhc,1,10,38.0,0.000999927520752
rhc,1,20,42.0,0.0
rhc,1,30,46.0,0.0
rhc,1,40,48.0,0.0
rhc,1,50,48.0,0.0
rhc,1,60,48.0,0.0
rhc,1,70,54.0,0.0
rhc,1,80,57.0,0.0
rhc,1,90,59.0,0.0
rhc,1,100,59.0,0.0
rhc,1,110,59.0,0.0
rhc,1,120,61.0,0.00100016593933
rhc,1,130,61.0,0.0
rhc,1,140,61.0,0.0
rhc,1,150,61.0,0.0
rhc,1,160,61.0,0.0
rhc,1,170,61.0,0.0
rhc,1,180,61.0,0.000999927520752
rhc,1,190,61.0,0.0
rhc,1,200,61.0,0.0
rhc,1,210,61.0,0.0
rhc,1,220,61.0,0.0
rhc,1,230,61.0,0.0
rhc,1,240,61.0,0.0
rhc,1,250,61.0,0.0
rhc,1,260,63.0,0.0
rhc,1,270,63.0,0.0
rhc,1,280,63.0,0.0
rhc,1,290,63.0,0.0
rhc,1,300,63.0,0.0
rhc,1,310,63.0,0.0
rhc,1,320,63.0,0.0
rhc,1,330,63.0,0.0
rhc,1,340,63.0,0.0
rhc,1,350,63.0,0.0
rhc,1,360,63.0,0.0
rhc,1,370,63.0,0.0
rhc,1,380,63.0,0.0
rhc,1,390,63.0,0.0
rhc,1,400,63.0,0.0
rhc,1,410,63.0,0.0
rhc,1,420,63.0,0.0
rhc,1,430,63.0,0.0
rhc,1,440,63.0,0.0
rhc,1,450,65.0,0.0
rhc,1,460,65.0,0.0
rhc,1,470,65.0,0.0
rhc,1,480,65.0,0.0
rhc,1,490,65.0,0.0
rhc,2,0,38.0,0.0
rhc,2,10,38.0,0.0
rhc,2,20,44.0,0.0
rhc,2,30,46.0,0.0
rhc,2,40,46.0,0.0
rhc,2,50,48.0,0.0
rhc,2,60,52.0,0.0
rhc,2,70,53.0,0.0
rhc,2,80,53.0,0.0
rhc,2,90,53.0,0.0
rhc,2,100,53.0,0.0
rhc,2,110,57.0,0.0
rhc,2,120,57.0,0.0
rhc,2,130,59.0,0.0
rhc,2,140,59.0,0.0
rhc,2,150,59.0,0.000999927520752
rhc,2,160,59.0,0.0
rhc,2,170,61.0,0.0
rhc,2,180,61.0,0.0
rhc,2,190,61.0,0.0
rhc,2,200,61.0,0.0
rhc,2,210,61.0,0.0
rhc,2,220,61.0,0.0
rhc,2,230,61.0,0.0
rhc,2,240,61.0,0.0
rhc,2,250,61.0,0.0
rhc,2,260,61.0,0.0
rhc,2,270,61.0,0.0
rhc,2,280,61.0,0.000999927520752
rhc,2,290,61.0,0.0
rhc,2,300,61.0,0.0
rhc,2,310,61.0,0.0
rhc,2,320,61.0,0.0
rhc,2,330,63.0,0.0
rhc,2,340,63.0,0.0
rhc,2,350,63.0,0.000999927520752
rhc,2,360,63.0,0.0
rhc,2,370,63.0,0.0
rhc,2,380,63.0,0.0
rhc,2,390,63.0,0.0
rhc,2,400,63.0,0.0
rhc,2,410,65.0,0.0
rhc,2,420,65.0,0.0
rhc,2,430,65.0,0.0
rhc,2,440,65.0,0.0
rhc,2,450,65.0,0.0
rhc,2,460,65.0,0.0
rhc,2,470,65.0,0.0
rhc,2,480,65.0,0.0
rhc,2,490,65.0,0.0
rhc,3,0,40.0,0.0
rhc,3,10,46.0,0.0
rhc,3,20,50.0,0.0
rhc,3,30,56.0,0.0
rhc,3,40,56.0,0.0
rhc,3,50,56.0,0.000999927520752
rhc,3,60,56.0,0.0
rhc,3,70,56.0,0.0
rhc,3,80,58.0,0.0
rhc,3,90,58.0,0.0
rhc,3,100,58.0,0.0
rhc,3,110,58.0,0.0
rhc,3,120,58.0,0.0
rhc,3,130,60.0,0.0
rhc,3,140,60.0,0.0
rhc,3,150,60.0,0.0
rhc,3,160,60.0,0.0
rhc,3,170,60.0,0.0
rhc,3,180,60.0,0.0
rhc,3,190,60.0,0.000999927520752
rhc,3,200,62.0,0.0
rhc,3,210,62.0,0.0
rhc,3,220,62.0,0.0
rhc,3,230,62.0,0.0
rhc,3,240,62.0,0.0
rhc,3,250,62.0,0.0
rhc,3,260,62.0,0.0
rhc,3,270,62.0,0.0
rhc,3,280,62.0,0.0
rhc,3,290,64.0,0.0
rhc,3,300,64.0,0.0
rhc,3,310,64.0,0.0
rhc,3,320,64.0,0.0
rhc,3,330,64.0,0.0
rhc,3,340,64.0,0.0
rhc,3,350,64.0,0.0
rhc,3,360,64.0,0.0
rhc,3,370,64.0,0.0
rhc,3,380,64.0,0.0
rhc,3,390,64.0,0.0
rhc,3,400,64.0,0.0
rhc,3,410,64.0,0.0
rhc,3,420,64.0,0.0
rhc,3,430,64.0,0.0
rhc,3,440,64.0,0.0
rhc,3,450,64.0,0.0
rhc,3,460,64.0,0.0
rhc,3,470,64.0,0.0
rhc,3,480,64.0,0.0
rhc,3,490,64.0,0.0
rhc,4,0,45.0,0.000999927520752
